Q5,Q7,Q8,Q9,Q15,Q16,Q17,Q20,Q23,Q23_5_TEXT,Q29_1,Q31,Q55,Q35,Q36,Q40_1,Q40_2,Q40_3,Q41_23,Q42_1,Q42_2,Q42_3,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q43_11,Q43_11_TEXT,Q47_1,Q47_2
Social Sciences,Woman,White,21,Yes,Polling station,Trump,Happy,Volunteering,,,No; I did not check,Mostly Republicans,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,7,Once or twice a year,Every day,Every day,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Slightly knowledgeable
Engineering/Computer Science,Man,White,20,Yes,Polling station,Trump,,Volunteering,,3,No; I do not know how,Mostly Republicans,No,No,Somewhat agree,Somewhat disagree,Somewhat disagree,7,Once or twice a month,Once a week,Never,Very important,Important,Important,Important,Moderately important,Moderately important,Important,Moderately important,Moderately important,Moderately important,,,Slightly knowledgeable,Very knowledgeable
Social Sciences,Woman,Mixed Race,18,,,,"Sad,Scared,Angry",Community engagement,,,Yes; it was counted,Only Democrats,Yes,No,Strongly agree,Strongly agree,Somewhat agree,2,Every day,Every day,Once or twice a month,Very important,Very important,Very important,Important,Important,Very important,Very important,Important,Important,Important,,,Extremely knowledgeable,Extremely knowledgeable
Life Sciences,Man,Mexican American/Chicanx,20,No,I do not remember,Clinton,Sad,Volunteering,,,,,No,No,Somewhat agree,Somewhat agree,Somewhat agree,4,Once a week,Every day,Once or twice a year,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,Very knowledgeable,Very knowledgeable
Arts & Humanities,Woman,Mixed Race,19,,,,Scared,Community engagement,,1,No; I do not know how,Mostly Democrats,Yes,No,Somewhat agree,Strongly agree,Strongly agree,3,Every couple of days,Once a week,Once a week,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,Very knowledgeable,Very knowledgeable
Arts & Humanities,Man,Mexican American/Chicanx,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Voting,,,Yes; it was counted,Only Democrats,No,No,Strongly disagree,Strongly disagree,Strongly disagree,1,Every couple of days,Once a week,Never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not important,,Very knowledgeable,Moderately knowledgeable
Social Sciences,Woman,White,21,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Community engagement,,1,Yes; it was counted,Only Democrats,Yes,No,Somewhat agree,Somewhat agree,Somewhat disagree,2,Every day,Every day,Never,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,,,Moderately knowledgeable,Very knowledgeable
Arts & Humanities,Man,Other Hispanic/Latinx,25+,Yes,Polling station,3rd party,Angry,Community engagement,,2,Yes; it was counted,Only Democrats,I do not remember,No,Strongly agree,Somewhat disagree,Strongly disagree,4,Once or twice a year,Once or twice a year,Never,Very important,Very important,Very important,Very important,Important,Important,Important,Important,Important,Important,Not important,,Slightly knowledgeable,Moderately knowledgeable
Engineering/Computer Science,Man,White,21,,,,Other,Other,Strategic spending and manipulation.,,,,No,Yes,Neutral,Strongly disagree,Strongly disagree,5,Every couple of days,Every couple of days,Never,Very important,Important,Important,Very important,Very important,Very important,Very important,Moderately important,Important,Moderately important,,,Slightly knowledgeable,Slightly knowledgeable
Arts & Humanities,Woman,Other,20,Yes,Absentee / mail ballot,Clinton,"Sad,Scared,Angry",Voting,,3,No; I do not know how,Mostly Democrats,I do not remember,No,Somewhat agree,Somewhat agree,Somewhat disagree,5,Every couple of days,Every couple of days,Once or twice a year,Very important,Important,Important,Very important,Very important,Important,Very important,Very important,Slightly important,Slightly important,Very important,Education,Moderately knowledgeable,Moderately knowledgeable
